HS6,Country,AdValorem
010121,China,30.0
010129,China,30.0
010130,China,30.0
010190,China,30.0
010221,China,30.0
010229,China,30.0
010231,China,30.0
010239,China,30.0
010290,China,30.0
010310,China,30.0
010391,China,30.0
010392,China,30.0
010410,China,30.0
010420,China,30.0
010511,China,30.0
010512,China,30.0
010513,China,30.0
010514,China,30.0
010515,China,30.0
010594,China,30.0
010599,China,30.0
010611,China,30.0
010612,China,30.0
010613,China,30.0
010614,China,30.0
010619,China,30.0
010620,China,30.0
010631,China,30.0
010632,China,30.0
010633,China,30.0
010639,China,30.0
010641,China,30.0
010649,China,30.0
010690,China,30.0
020110,China,30.0
020120,China,30.0
020130,China,30.0
020210,China,30.0
020220,China,30.0
020230,China,30.0
020311,China,30.0
020312,China,30.0
020319,China,30.0
020321,China,30.0
020322,China,30.0
020329,China,30.0
020410,China,30.0
020421,China,30.0
020422,China,30.0
020423,China,30.0
020430,China,30.0
020441,China,30.0
020442,China,30.0
020443,China,30.0
020450,China,30.0
020500,China,30.0
020610,China,30.0
020621,China,30.0
020622,China,30.0
020629,China,30.0
020630,China,30.0
020641,China,30.0
020649,China,30.0
020680,China,30.0
020690,China,30.0
020711,China,30.0
020712,China,30.0
020713,China,100.0
020714,China,100.0
020724,China,30.0
020725,China,30.0
020726,China,30.0
020727,China,30.0
020741,China,30.0
020742,China,30.0
020743,China,30.0
020744,China,30.0
020745,China,30.0
020751,China,30.0
020752,China,30.0
020753,China,30.0
020754,China,30.0
020755,China,30.0
020760,China,30.0
020810,China,30.0
020830,China,30.0
020840,China,30.0
020850,China,30.0
020860,China,30.0
020890,China,30.0
020910,China,30.0
020990,China,30.0
021011,China,30.0
021012,China,30.0
021019,China,30.0
021020,China,30.0
021091,China,30.0
021092,China,30.0
021093,China,30.0
021099,China,30.0
030111,China,30.0
030119,China,30.0
030191,China,30.0
030192,China,30.0
030193,China,30.0
030194,China,30.0
030195,China,30.0
030199,China,30.0
030211,China,30.0
030213,China,30.0
030214,China,30.0
030219,China,30.0
030221,China,30.0
030222,China,30.0
030223,China,30.0
030224,China,30.0
030229,China,30.0
030231,China,30.0
030232,China,30.0
030233,China,30.0
030234,China,30.0
030235,China,30.0
030236,China,30.0
030239,China,30.0
030241,China,30.0
030242,China,30.0
030243,China,30.0
030244,China,30.0
030245,China,30.0
030246,China,30.0
030247,China,30.0
030249,China,30.0
030251,China,30.0
030252,China,30.0
030253,China,30.0
030254,China,30.0
030255,China,30.0
030256,China,30.0
030259,China,30.0
030271,China,30.0
030272,China,30.0
030273,China,30.0
030274,China,30.0
030279,China,30.0
030281,China,30.0
030282,China,30.0
030283,China,30.0
030284,China,30.0
030285,China,30.0
030289,China,30.0
030291,China,30.0
030292,China,30.0
030299,China,30.0
030311,China,30.0
030312,China,30.0
030313,China,30.0
030314,China,30.0
030319,China,30.0
030323,China,30.0
030324,China,30.0
030325,China,30.0
030326,China,30.0
030329,China,30.0
030331,China,30.0
030332,China,30.0
030333,China,30.0
030334,China,30.0
030339,China,30.0
030341,China,30.0
030342,China,30.0
030343,China,30.0
030344,China,30.0
030345,China,30.0
030346,China,30.0
030349,China,30.0
030351,China,30.0
030353,China,30.0
030354,China,30.0
030355,China,30.0
030356,China,30.0
030357,China,30.0
030359,China,30.0
030363,China,30.0
030364,China,30.0
030365,China,30.0
030366,China,30.0
030367,China,30.0
030368,China,30.0
030369,China,30.0
030381,China,30.0
030382,China,30.0
030383,China,30.0
030384,China,30.0
030389,China,30.0
030391,China,30.0
030392,China,30.0
030399,China,30.0
030431,China,30.0
030432,China,30.0
030433,China,30.0
030439,China,30.0
030441,China,30.0
030442,China,30.0
030443,China,30.0
030444,China,30.0
030445,China,30.0
030446,China,30.0
030447,China,30.0
030448,China,30.0
030449,China,30.0
030451,China,30.0
030452,China,30.0
030453,China,30.0
030454,China,30.0
030455,China,30.0
030456,China,30.0
030457,China,30.0
030459,China,30.0
030461,China,30.0
030462,China,30.0
030463,China,30.0
030469,China,30.0
030471,China,30.0
030472,China,30.0
030473,China,30.0
030474,China,30.0
030475,China,30.0
030479,China,30.0
030481,China,30.0
030482,China,30.0
030483,China,30.0
030484,China,30.0
030485,China,30.0
030486,China,30.0
030487,China,30.0
030488,China,30.0
030489,China,30.0
030491,China,30.0
030492,China,30.0
030493,China,30.0
030494,China,30.0
030495,China,30.0
030496,China,30.0
030497,China,30.0
030499,China,30.0
030520,China,30.0
030531,China,30.0
030532,China,30.0
030539,China,30.0
030541,China,30.0
030542,China,30.0
030543,China,30.0
030544,China,30.0
030549,China,30.0
030551,China,30.0
030552,China,30.0
030553,China,30.0
030554,China,30.0
030559,China,30.0
030561,China,30.0
030562,China,30.0
030563,China,30.0
030564,China,30.0
030569,China,30.0
030571,China,30.0
030572,China,30.0
030579,China,30.0
030611,China,30.0
030612,China,30.0
030614,China,30.0
030615,China,30.0
030616,China,30.0
030617,China,30.0
030619,China,30.0
030631,China,30.0
030632,China,30.0
030633,China,30.0
030634,China,30.0
030635,China,30.0
030636,China,30.0
030639,China,30.0
030691,China,30.0
030692,China,30.0
030693,China,30.0
030694,China,30.0
030695,China,30.0
030699,China,30.0
030711,China,30.0
030712,China,30.0
030719,China,30.0
030721,China,30.0
030722,China,30.0
030729,China,30.0
030731,China,30.0
030732,China,30.0
030739,China,30.0
030742,China,30.0
030743,China,30.0
030749,China,30.0
030751,China,30.0
030752,China,30.0
030759,China,30.0
030760,China,30.0
030771,China,30.0
030772,China,30.0
030779,China,30.0
030781,China,30.0
030782,China,30.0
030783,China,30.0
030784,China,30.0
030787,China,30.0
030788,China,30.0
030791,China,30.0
030792,China,30.0
030799,China,30.0
030811,China,30.0
030812,China,30.0
030819,China,30.0
030821,China,30.0
030822,China,30.0
030829,China,30.0
030830,China,30.0
030890,China,30.0
030910,China,30.0
030990,China,30.0
040110,China,30.0
040120,China,30.0
040140,China,30.0
040150,China,30.0
040210,China,60.0
040221,China,60.0
040229,China,30.0
040291,China,30.0
040299,China,30.0
040320,China,30.0
040390,China,30.0
040410,China,40.0
