exporter,importer,hs6,tariff
China,India,010121,30.0
China,India,010129,30.0
China,India,010130,30.0
China,India,010190,30.0
China,India,010221,30.0
China,India,010229,30.0
China,India,010231,30.0
China,India,010239,30.0
China,India,010290,30.0
China,India,010310,30.0
China,India,010391,30.0
China,India,010392,30.0
China,India,010410,30.0
China,India,010420,30.0
China,India,010511,30.0
China,India,010512,30.0
China,India,010513,30.0
China,India,010514,30.0
China,India,010515,30.0
China,India,010594,30.0
China,India,010599,30.0
China,India,010611,30.0
China,India,010612,30.0
China,India,010613,30.0
China,India,010614,30.0
China,India,010619,30.0
China,India,010620,30.0
China,India,010631,30.0
China,India,010632,30.0
China,India,010633,30.0
China,India,010639,30.0
China,India,010641,30.0
China,India,010649,30.0
China,India,010690,30.0
China,India,020110,30.0
China,India,020120,30.0
China,India,020130,30.0
China,India,020210,30.0
China,India,020220,30.0
China,India,020230,30.0
China,India,020311,30.0
China,India,020312,30.0
China,India,020319,30.0
China,India,020321,30.0
China,India,020322,30.0
China,India,020329,30.0
China,India,020410,30.0
China,India,020421,30.0
China,India,020422,30.0
China,India,020423,30.0
China,India,020430,30.0
China,India,020441,30.0
China,India,020442,30.0
China,India,020443,30.0
China,India,020450,30.0
China,India,020500,30.0
China,India,020610,30.0
China,India,020621,30.0
China,India,020622,30.0
China,India,020629,30.0
China,India,020630,30.0
China,India,020641,30.0
China,India,020649,30.0
China,India,020680,30.0
China,India,020690,30.0
China,India,020711,30.0
China,India,020712,30.0
China,India,020713,100.0
China,India,020714,100.0
China,India,020724,30.0
China,India,020725,30.0
China,India,020726,30.0
China,India,020727,30.0
China,India,020741,30.0
China,India,020742,30.0
China,India,020743,30.0
China,India,020744,30.0
China,India,020745,30.0
China,India,020751,30.0
China,India,020752,30.0
China,India,020753,30.0
China,India,020754,30.0
China,India,020755,30.0
China,India,020760,30.0
China,India,020810,30.0
China,India,020830,30.0
China,India,020840,30.0
China,India,020850,30.0
China,India,020860,30.0
China,India,020890,30.0
China,India,020910,30.0
China,India,020990,30.0
China,India,021011,30.0
China,India,021012,30.0
China,India,021019,30.0
China,India,021020,30.0
China,India,021091,30.0
China,India,021092,30.0
China,India,021093,30.0
China,India,021099,30.0
China,India,030111,30.0
China,India,030119,30.0
China,India,030191,30.0
China,India,030192,30.0
China,India,030193,30.0
China,India,030194,30.0
China,India,030195,30.0
China,India,030199,30.0
China,India,030211,30.0
China,India,030213,30.0
China,India,030214,30.0
China,India,030219,30.0
China,India,030221,30.0
China,India,030222,30.0
China,India,030223,30.0
China,India,030224,30.0
China,India,030229,30.0
China,India,030231,30.0
China,India,030232,30.0
China,India,030233,30.0
China,India,030234,30.0
China,India,030235,30.0
China,India,030236,30.0
China,India,030239,30.0
China,India,030241,30.0
China,India,030242,30.0
China,India,030243,30.0
China,India,030244,30.0
China,India,030245,30.0
China,India,030246,30.0
China,India,030247,30.0
China,India,030249,30.0
