HS6,Country,AdValorem
010121,Korea,5.0
010129,Korea,5.0
010130,Korea,5.0
010190,Korea,5.0
010221,Korea,5.0
010229,Korea,5.0
010231,Korea,5.0
010239,Korea,5.0
010290,Korea,5.0
010310,Korea,5.0
010391,Korea,5.0
010392,Korea,5.0
010410,Korea,5.0
010420,Korea,5.0
010511,Korea,15.0
010512,Korea,15.0
010513,Korea,15.0
010514,Korea,15.0
010515,Korea,15.0
010599,Korea,5.0
010611,Korea,5.0
010612,Korea,5.0
010613,Korea,5.0
010614,Korea,5.0
010619,Korea,5.0
010620,Korea,5.0
010631,Korea,5.0
010632,Korea,5.0
010633,Korea,5.0
010639,Korea,5.0
010641,Korea,5.0
010649,Korea,5.0
010690,Korea,5.0
020110,Korea,5.0
020120,Korea,5.0
020130,Korea,5.0
020210,Korea,5.0
020220,Korea,5.0
020230,Korea,5.0
020311,Korea,5.0
020312,Korea,5.0
020319,Korea,5.0
020321,Korea,5.0
020322,Korea,5.0
020329,Korea,5.0
020410,Korea,5.0
020421,Korea,5.0
020422,Korea,5.0
020423,Korea,5.0
020430,Korea,5.0
020441,Korea,5.0
020442,Korea,5.0
020443,Korea,5.0
020450,Korea,5.0
020500,Korea,5.0
020610,Korea,5.0
020621,Korea,5.0
020622,Korea,5.0
020629,Korea,5.0
020630,Korea,5.0
020641,Korea,5.0
020649,Korea,5.0
020680,Korea,5.0
020690,Korea,5.0
020713,Korea,50.0
020714,Korea,50.0
020724,Korea,5.0
020725,Korea,5.0
020726,Korea,5.0
020727,Korea,5.0
020741,Korea,5.0
020742,Korea,5.0
020744,Korea,5.0
020745,Korea,5.0
020751,Korea,5.0
020752,Korea,5.0
020753,Korea,5.0
020754,Korea,5.0
020755,Korea,5.0
020760,Korea,5.0
020810,Korea,5.0
020830,Korea,5.0
020840,Korea,5.0
020850,Korea,5.0
020860,Korea,5.0
020890,Korea,5.0
020910,Korea,5.0
020990,Korea,5.0
021011,Korea,5.0
021012,Korea,5.0
021019,Korea,5.0
021020,Korea,5.0
021091,Korea,5.0
021092,Korea,5.0
021093,Korea,5.0
021099,Korea,5.0
030111,Korea,5.0
030119,Korea,5.0
030191,Korea,5.0
030192,Korea,5.0
030193,Korea,5.0
030194,Korea,5.0
030195,Korea,5.0
030199,Korea,5.0
030211,Korea,5.0
030213,Korea,5.0
030214,Korea,5.0
030219,Korea,5.0
030221,Korea,5.0
030222,Korea,5.0
030223,Korea,5.0
030224,Korea,5.0
030229,Korea,5.0
030231,Korea,5.0
030232,Korea,5.0
030233,Korea,5.0
030234,Korea,5.0
030235,Korea,5.0
030236,Korea,5.0
030239,Korea,5.0
030241,Korea,5.0
030242,Korea,5.0
030243,Korea,5.0
030244,Korea,5.0
030245,Korea,5.0
030246,Korea,5.0
030247,Korea,5.0
030249,Korea,5.0
030251,Korea,5.0
030252,Korea,5.0
030253,Korea,5.0
030254,Korea,5.0
030255,Korea,5.0
030256,Korea,5.0
030259,Korea,5.0
030271,Korea,5.0
030272,Korea,5.0
030273,Korea,5.0
030274,Korea,5.0
030279,Korea,5.0
030281,Korea,5.0
030282,Korea,5.0
030283,Korea,5.0
030284,Korea,5.0
030285,Korea,5.0
030289,Korea,5.0
030291,Korea,5.0
030292,Korea,5.0
030299,Korea,5.0
030311,Korea,5.0
030312,Korea,5.0
030313,Korea,5.0
030314,Korea,5.0
030319,Korea,5.0
030323,Korea,5.0
030324,Korea,5.0
030325,Korea,5.0
030326,Korea,5.0
030329,Korea,5.0
030331,Korea,5.0
030332,Korea,5.0
030333,Korea,5.0
030334,Korea,5.0
030339,Korea,5.0
030341,Korea,5.0
030342,Korea,5.0
030343,Korea,5.0
030344,Korea,5.0
030345,Korea,5.0
030346,Korea,5.0
030349,Korea,5.0
030351,Korea,5.0
030353,Korea,5.0
030354,Korea,5.0
030355,Korea,5.0
030356,Korea,5.0
030357,Korea,5.0
030359,Korea,5.0
030363,Korea,5.0
030364,Korea,5.0
030365,Korea,5.0
030366,Korea,5.0
030367,Korea,5.0
030368,Korea,5.0
030369,Korea,5.0
030381,Korea,5.0
030382,Korea,5.0
030383,Korea,5.0
030384,Korea,5.0
030389,Korea,5.0
030391,Korea,5.0
030392,Korea,5.0
030399,Korea,5.0
030431,Korea,5.0
030432,Korea,5.0
030433,Korea,5.0
030439,Korea,5.0
030441,Korea,5.0
030442,Korea,5.0
030443,Korea,5.0
030444,Korea,5.0
030445,Korea,5.0
030446,Korea,5.0
030447,Korea,5.0
030448,Korea,5.0
030449,Korea,5.0
030451,Korea,5.0
030452,Korea,5.0
030453,Korea,5.0
030454,Korea,5.0
030455,Korea,5.0
030456,Korea,5.0
030457,Korea,5.0
030459,Korea,5.0
030461,Korea,5.0
030462,Korea,5.0
030463,Korea,5.0
030469,Korea,5.0
030471,Korea,5.0
030472,Korea,5.0
030473,Korea,5.0
030474,Korea,5.0
030475,Korea,5.0
030479,Korea,5.0
030481,Korea,5.0
030482,Korea,5.0
030483,Korea,5.0
030484,Korea,5.0
030485,Korea,5.0
030486,Korea,5.0
030487,Korea,5.0
030488,Korea,5.0
030489,Korea,5.0
030491,Korea,5.0
030492,Korea,5.0
030493,Korea,5.0
030494,Korea,5.0
030495,Korea,5.0
030496,Korea,5.0
030497,Korea,5.0
030499,Korea,5.0
030520,Korea,5.0
030531,Korea,5.0
030532,Korea,5.0
030539,Korea,5.0
030541,Korea,5.0
030542,Korea,5.0
030543,Korea,5.0
030544,Korea,5.0
030549,Korea,5.0
030551,Korea,5.0
030552,Korea,5.0
030553,Korea,5.0
030554,Korea,5.0
030559,Korea,5.0
030561,Korea,5.0
030562,Korea,5.0
030563,Korea,5.0
030564,Korea,5.0
030569,Korea,5.0
030571,Korea,5.0
030572,Korea,5.0
030579,Korea,5.0
030611,Korea,5.0
030612,Korea,5.0
030614,Korea,5.0
030615,Korea,5.0
030616,Korea,5.0
030617,Korea,5.0
030619,Korea,5.0
030631,Korea,5.0
030632,Korea,5.0
030633,Korea,5.0
030634,Korea,5.0
030635,Korea,5.0
030636,Korea,5.0
030639,Korea,5.0
030691,Korea,5.0
030692,Korea,5.0
030693,Korea,5.0
030694,Korea,5.0
030695,Korea,5.0
030699,Korea,5.0
030711,Korea,5.0
030712,Korea,5.0
030719,Korea,5.0
030721,Korea,5.0
030722,Korea,5.0
030729,Korea,5.0
030731,Korea,5.0
030732,Korea,5.0
030739,Korea,5.0
030742,Korea,5.0
030743,Korea,5.0
030749,Korea,5.0
030751,Korea,5.0
030752,Korea,5.0
030759,Korea,5.0
030760,Korea,5.0
030771,Korea,5.0
030772,Korea,5.0
030779,Korea,5.0
030781,Korea,5.0
030782,Korea,5.0
030783,Korea,5.0
030784,Korea,5.0
030787,Korea,5.0
030788,Korea,5.0
030791,Korea,5.0
030792,Korea,5.0
030799,Korea,5.0
030811,Korea,5.0
030812,Korea,5.0
030819,Korea,5.0
030821,Korea,5.0
030822,Korea,5.0
030829,Korea,5.0
030830,Korea,5.0
030890,Korea,5.0
030910,Korea,5.0
030990,Korea,5.0
040320,Korea,5.0
040390,Korea,5.0
040490,Korea,5.0
040610,Korea,5.0
040620,Korea,5.0
040630,Korea,5.0
040640,Korea,5.0
040811,Korea,5.0
040819,Korea,5.0
040891,Korea,5.0
040899,Korea,5.0
041010,Korea,5.0
041090,Korea,5.0
050100,Korea,5.0
050210,Korea,5.0
050290,Korea,5.0
050400,Korea,5.0
050510,Korea,5.0
050590,Korea,5.0
050610,Korea,5.0
050690,Korea,5.0
050710,Korea,5.0
050790,Korea,5.0
050800,Korea,5.0
051000,Korea,5.0
051110,Korea,5.0
051191,Korea,5.0
051199,Korea,5.0
070970,Korea,15.0
071320,Korea,2.5
080450,Korea,15.0
080540,Korea,12.5
