HS6,Country,AdValorem
010121,Veitnam,0.0
010129,Veitnam,0.0
010130,Veitnam,0.0
010190,Veitnam,0.0
010221,Veitnam,0.0
010229,Veitnam,0.0
010231,Veitnam,0.0
010239,Veitnam,0.0
010290,Veitnam,0.0
010310,Veitnam,0.0
010391,Veitnam,0.0
010392,Veitnam,0.0
010410,Veitnam,0.0
010420,Veitnam,0.0
010599,Veitnam,5.0
010611,Veitnam,0.0
010612,Veitnam,0.0
010613,Veitnam,0.0
010614,Veitnam,0.0
010619,Veitnam,0.0
010620,Veitnam,0.0
010631,Veitnam,0.0
010632,Veitnam,0.0
010633,Veitnam,0.0
010639,Veitnam,0.0
010641,Veitnam,0.0
010649,Veitnam,0.0
010690,Veitnam,0.0
020110,Veitnam,0.0
020120,Veitnam,0.0
020130,Veitnam,0.0
020210,Veitnam,0.0
020220,Veitnam,0.0
020230,Veitnam,0.0
020311,Veitnam,0.0
020312,Veitnam,0.0
020319,Veitnam,0.0
020321,Veitnam,0.0
020322,Veitnam,0.0
020329,Veitnam,0.0
020410,Veitnam,0.0
020421,Veitnam,0.0
020422,Veitnam,0.0
020423,Veitnam,0.0
020430,Veitnam,0.0
020441,Veitnam,0.0
020442,Veitnam,0.0
020443,Veitnam,0.0
020450,Veitnam,0.0
020500,Veitnam,0.0
020610,Veitnam,0.0
020621,Veitnam,0.0
020622,Veitnam,0.0
020629,Veitnam,0.0
020630,Veitnam,0.0
020641,Veitnam,0.0
020649,Veitnam,0.0
020680,Veitnam,0.0
020690,Veitnam,0.0
020724,Veitnam,0.0
020725,Veitnam,0.0
020726,Veitnam,0.0
020727,Veitnam,0.0
020741,Veitnam,0.0
020742,Veitnam,0.0
020744,Veitnam,0.0
020745,Veitnam,0.0
020751,Veitnam,0.0
020752,Veitnam,0.0
020754,Veitnam,0.0
020755,Veitnam,0.0
020760,Veitnam,0.0
020810,Veitnam,0.0
020830,Veitnam,0.0
020840,Veitnam,0.0
020850,Veitnam,0.0
020860,Veitnam,0.0
020890,Veitnam,0.0
020910,Veitnam,0.0
020990,Veitnam,0.0
021011,Veitnam,0.0
021012,Veitnam,0.0
021019,Veitnam,0.0
021020,Veitnam,0.0
021091,Veitnam,0.0
021092,Veitnam,0.0
021093,Veitnam,0.0
021099,Veitnam,0.0
030111,Veitnam,0.0
030119,Veitnam,0.0
030191,Veitnam,0.0
030192,Veitnam,0.0
030193,Veitnam,0.0
030194,Veitnam,0.0
030195,Veitnam,0.0
030199,Veitnam,0.0
030213,Veitnam,0.0
030214,Veitnam,0.0
030219,Veitnam,0.0
030221,Veitnam,0.0
030222,Veitnam,0.0
030224,Veitnam,0.0
030229,Veitnam,0.0
030233,Veitnam,0.0
030234,Veitnam,0.0
030235,Veitnam,0.0
030236,Veitnam,0.0
030239,Veitnam,0.0
030242,Veitnam,5.0
030245,Veitnam,5.0
030246,Veitnam,5.0
030247,Veitnam,5.0
030249,Veitnam,5.0
030252,Veitnam,0.0
030253,Veitnam,0.0
030254,Veitnam,5.0
030255,Veitnam,5.0
030256,Veitnam,5.0
030259,Veitnam,5.0
030271,Veitnam,5.0
030272,Veitnam,5.0
030273,Veitnam,5.0
030274,Veitnam,0.0
030279,Veitnam,5.0
030281,Veitnam,0.0
030282,Veitnam,5.0
030283,Veitnam,5.0
030284,Veitnam,5.0
030285,Veitnam,5.0
030289,Veitnam,5.0
030291,Veitnam,0.0
030292,Veitnam,0.0
030299,Veitnam,2.5
030313,Veitnam,0.0
030319,Veitnam,0.0
030323,Veitnam,0.0
030324,Veitnam,0.0
030325,Veitnam,0.0
030326,Veitnam,0.0
030329,Veitnam,0.0
030331,Veitnam,0.0
030332,Veitnam,0.0
030333,Veitnam,0.0
030343,Veitnam,0.0
030344,Veitnam,0.0
030345,Veitnam,0.0
030346,Veitnam,0.0
030349,Veitnam,0.0
030351,Veitnam,0.0
030357,Veitnam,0.0
030363,Veitnam,0.0
030364,Veitnam,0.0
030365,Veitnam,0.0
030366,Veitnam,0.0
030381,Veitnam,0.0
030382,Veitnam,0.0
030383,Veitnam,0.0
030384,Veitnam,0.0
030389,Veitnam,0.0
030391,Veitnam,0.0
030392,Veitnam,0.0
030399,Veitnam,0.0
030520,Veitnam,0.0
030541,Veitnam,0.0
030542,Veitnam,0.0
030543,Veitnam,0.0
030544,Veitnam,0.0
030549,Veitnam,0.0
030551,Veitnam,0.0
030552,Veitnam,0.0
030553,Veitnam,0.0
030554,Veitnam,0.0
030559,Veitnam,0.0
030561,Veitnam,0.0
030562,Veitnam,0.0
030564,Veitnam,0.0
030569,Veitnam,0.0
030571,Veitnam,0.0
030572,Veitnam,0.0
030579,Veitnam,0.0
030611,Veitnam,0.0
030612,Veitnam,0.0
030619,Veitnam,0.0
030634,Veitnam,0.0
030639,Veitnam,0.0
030694,Veitnam,0.0
030699,Veitnam,0.0
030711,Veitnam,0.0
030712,Veitnam,0.0
030719,Veitnam,0.0
030721,Veitnam,0.0
030722,Veitnam,0.0
030729,Veitnam,0.0
030731,Veitnam,0.0
030732,Veitnam,0.0
030739,Veitnam,0.0
030742,Veitnam,0.0
030743,Veitnam,0.0
030749,Veitnam,0.0
030751,Veitnam,0.0
030752,Veitnam,0.0
030759,Veitnam,0.0
030760,Veitnam,0.0
030771,Veitnam,0.0
030772,Veitnam,0.0
030779,Veitnam,0.0
030781,Veitnam,0.0
030782,Veitnam,0.0
030783,Veitnam,0.0
030784,Veitnam,0.0
030787,Veitnam,0.0
030788,Veitnam,0.0
030791,Veitnam,0.0
030792,Veitnam,0.0
030799,Veitnam,0.0
030811,Veitnam,0.0
030812,Veitnam,0.0
030819,Veitnam,0.0
030821,Veitnam,0.0
030822,Veitnam,0.0
030829,Veitnam,0.0
030830,Veitnam,0.0
030890,Veitnam,0.0
030990,Veitnam,0.0
040320,Veitnam,0.0
040390,Veitnam,0.0
040490,Veitnam,0.0
040610,Veitnam,0.0
040620,Veitnam,0.0
040630,Veitnam,0.0
040640,Veitnam,0.0
040811,Veitnam,5.0
040819,Veitnam,5.0
040891,Veitnam,5.0
040899,Veitnam,5.0
041010,Veitnam,0.0
050100,Veitnam,0.0
050210,Veitnam,0.0
050290,Veitnam,0.0
050400,Veitnam,0.0
050510,Veitnam,0.0
050590,Veitnam,0.0
050610,Veitnam,0.0
050690,Veitnam,0.0
050710,Veitnam,0.0
050790,Veitnam,0.0
050800,Veitnam,0.0
051000,Veitnam,0.0
051110,Veitnam,0.0
051191,Veitnam,0.0
051199,Veitnam,0.0
060110,Veitnam,0.0
060120,Veitnam,0.0
060210,Veitnam,0.0
060220,Veitnam,0.0
060230,Veitnam,0.0
060240,Veitnam,0.0
060290,Veitnam,0.0
070390,Veitnam,0.0
