HS6,Country,AdValorem
010121,Japan,0.0
010129,Japan,0.0
010130,Japan,0.0
010190,Japan,0.0
010221,Japan,0.0
010229,Japan,0.0
010231,Japan,0.0
010239,Japan,0.0
010290,Japan,0.0
010310,Japan,0.0
010391,Japan,0.0
010392,Japan,0.0
010410,Japan,0.0
010420,Japan,0.0
010611,Japan,0.0
010612,Japan,0.0
010613,Japan,0.0
010614,Japan,0.0
010619,Japan,0.0
010620,Japan,0.0
010631,Japan,0.0
010632,Japan,0.0
010633,Japan,0.0
010639,Japan,0.0
010641,Japan,0.0
010649,Japan,0.0
010690,Japan,0.0
020110,Japan,0.0
020120,Japan,0.0
020130,Japan,0.0
020210,Japan,0.0
020220,Japan,0.0
020230,Japan,0.0
020311,Japan,0.0
020312,Japan,0.0
020319,Japan,0.0
020321,Japan,0.0
020322,Japan,0.0
020329,Japan,0.0
020410,Japan,0.0
020421,Japan,0.0
020422,Japan,0.0
020423,Japan,0.0
020430,Japan,0.0
020441,Japan,0.0
020442,Japan,0.0
020443,Japan,0.0
020450,Japan,0.0
020500,Japan,0.0
020610,Japan,0.0
020621,Japan,0.0
020622,Japan,0.0
020629,Japan,0.0
020630,Japan,0.0
020641,Japan,0.0
020649,Japan,0.0
020680,Japan,0.0
020690,Japan,0.0
020724,Japan,0.0
020725,Japan,0.0
020726,Japan,0.0
020727,Japan,0.0
020741,Japan,0.0
020742,Japan,0.0
020743,Japan,0.0
020744,Japan,0.0
020745,Japan,0.0
020751,Japan,0.0
020752,Japan,0.0
020753,Japan,0.0
020754,Japan,0.0
020755,Japan,0.0
020760,Japan,0.0
020810,Japan,0.0
020830,Japan,0.0
020840,Japan,0.0
020850,Japan,0.0
020860,Japan,0.0
020890,Japan,0.0
021011,Japan,0.0
021012,Japan,0.0
021019,Japan,0.0
021020,Japan,0.0
021091,Japan,0.0
021092,Japan,0.0
021093,Japan,0.0
021099,Japan,0.0
030111,Japan,0.0
030119,Japan,0.0
030191,Japan,0.0
030192,Japan,0.0
030193,Japan,0.0
030194,Japan,0.0
030195,Japan,0.0
030199,Japan,0.0
030213,Japan,0.0
030219,Japan,0.0
030221,Japan,0.0
030222,Japan,0.0
030224,Japan,0.0
030229,Japan,0.0
030234,Japan,0.0
030235,Japan,0.0
030236,Japan,0.0
030239,Japan,0.0
030253,Japan,0.0
030274,Japan,0.0
030291,Japan,0.0
030299,Japan,0.0
030311,Japan,0.0
030312,Japan,0.0
030313,Japan,0.0
030319,Japan,0.0
030323,Japan,0.0
030324,Japan,0.0
030325,Japan,0.0
030326,Japan,0.0
030329,Japan,0.0
030331,Japan,0.0
030333,Japan,0.0
030343,Japan,0.0
030344,Japan,0.0
030345,Japan,0.0
030346,Japan,0.0
030349,Japan,0.0
030351,Japan,0.0
030363,Japan,0.0
030364,Japan,0.0
030365,Japan,0.0
030366,Japan,0.0
030381,Japan,0.0
030384,Japan,0.0
030391,Japan,0.0
030392,Japan,0.0
030399,Japan,0.0
030520,Japan,0.0
030541,Japan,0.0
030542,Japan,0.0
030543,Japan,0.0
030544,Japan,0.0
030549,Japan,0.0
030551,Japan,0.0
030552,Japan,0.0
030553,Japan,0.0
030554,Japan,0.0
030559,Japan,0.0
030561,Japan,0.0
030562,Japan,0.0
030564,Japan,0.0
030569,Japan,0.0
030571,Japan,0.0
030572,Japan,0.0
030579,Japan,0.0
030611,Japan,0.0
030612,Japan,0.0
030615,Japan,0.0
030619,Japan,0.0
030639,Japan,0.0
030691,Japan,0.0
030692,Japan,0.0
030693,Japan,0.0
030694,Japan,0.0
030695,Japan,0.0
030699,Japan,0.0
030711,Japan,0.0
030712,Japan,0.0
030719,Japan,0.0
030721,Japan,0.0
030722,Japan,0.0
030729,Japan,0.0
030731,Japan,0.0
030732,Japan,0.0
030739,Japan,0.0
030742,Japan,0.0
030743,Japan,0.0
030749,Japan,0.0
030751,Japan,0.0
030752,Japan,0.0
030759,Japan,0.0
030760,Japan,0.0
030771,Japan,0.0
030772,Japan,0.0
030779,Japan,0.0
030781,Japan,0.0
030782,Japan,0.0
030783,Japan,0.0
030784,Japan,0.0
030787,Japan,0.0
030788,Japan,0.0
030791,Japan,0.0
030792,Japan,0.0
030799,Japan,0.0
030811,Japan,0.0
030812,Japan,0.0
030819,Japan,0.0
030821,Japan,0.0
030822,Japan,0.0
030829,Japan,0.0
030830,Japan,0.0
030890,Japan,0.0
030990,Japan,0.0
040320,Japan,0.0
040390,Japan,0.0
040490,Japan,0.0
040610,Japan,0.0
040620,Japan,0.0
040630,Japan,0.0
040640,Japan,0.0
041010,Japan,0.0
041090,Japan,0.0
050100,Japan,0.0
050210,Japan,0.0
050290,Japan,0.0
050400,Japan,0.0
050510,Japan,0.0
050590,Japan,0.0
050610,Japan,0.0
050690,Japan,0.0
050710,Japan,0.0
050790,Japan,0.0
050800,Japan,0.0
051000,Japan,0.0
051110,Japan,0.0
051191,Japan,0.0
051199,Japan,0.0
060110,Japan,0.0
060120,Japan,0.0
060210,Japan,0.0
060220,Japan,0.0
060230,Japan,0.0
060240,Japan,0.0
060290,Japan,0.0
060312,Japan,0.0
070390,Japan,0.0
070420,Japan,0.0
070490,Japan,0.0
070511,Japan,0.0
070519,Japan,0.0
070521,Japan,0.0
070529,Japan,0.0
070920,Japan,0.0
070940,Japan,0.0
070951,Japan,0.0
070952,Japan,0.0
070953,Japan,0.0
070954,Japan,0.0
070955,Japan,0.0
070956,Japan,0.0
070959,Japan,0.0
070970,Japan,0.0
070991,Japan,0.0
070992,Japan,0.0
070993,Japan,0.0
070999,Japan,0.0
071030,Japan,0.0
071120,Japan,0.0
071140,Japan,0.0
071151,Japan,0.0
071159,Japan,0.0
071190,Japan,0.0
071231,Japan,0.0
071232,Japan,0.0
071233,Japan,0.0
071234,Japan,0.0
071239,Japan,0.0
071320,Japan,0.0
071360,Japan,0.0
071410,Japan,0.0
071420,Japan,0.0
071430,Japan,0.0
071440,Japan,0.0
071450,Japan,0.0
071490,Japan,0.0
080121,Japan,0.0
080122,Japan,0.0
080131,Japan,0.0
080221,Japan,0.0
080222,Japan,0.0
080231,Japan,0.0
080232,Japan,0.0
080241,Japan,0.0
080242,Japan,0.0
080251,Japan,0.0
080252,Japan,0.0
080310,Japan,0.0
080390,Japan,0.0
080410,Japan,0.0
080420,Japan,0.0
080430,Japan,0.0
080440,Japan,0.0
080450,Japan,0.0
080550,Japan,0.0
080590,Japan,0.0
080711,Japan,0.0
080720,Japan,0.0
080910,Japan,0.0
080921,Japan,0.0
080929,Japan,0.0
080930,Japan,0.0
081010,Japan,0.0
081020,Japan,0.0
081030,Japan,0.0
081040,Japan,0.0
081050,Japan,0.0
081060,Japan,0.0
081070,Japan,0.0
081090,Japan,0.0
081110,Japan,0.0
081120,Japan,0.0
081190,Japan,0.0
081210,Japan,0.0
081290,Japan,0.0
081320,Japan,0.0
081340,Japan,0.0
081400,Japan,0.0
090190,Japan,0.0
090210,Japan,0.0
090220,Japan,0.0
090230,Japan,0.0
090240,Japan,0.0
090300,Japan,0.0
090421,Japan,0.0
090422,Japan,0.0
090611,Japan,0.0
090619,Japan,0.0
090620,Japan,0.0
090961,Japan,0.0
090962,Japan,0.0
091020,Japan,0.0
091099,Japan,0.0
100199,Japan,0.0
100630,Japan,0.0
110290,Japan,0.0
110510,Japan,0.0
110520,Japan,0.0
110610,Japan,0.0
110620,Japan,0.0
110630,Japan,0.0
110710,Japan,0.0
110811,Japan,0.0
110814,Japan,0.0
110819,Japan,0.0
110820,Japan,0.0
120110,Japan,0.0
120190,Japan,0.0
120230,Japan,0.0
120241,Japan,0.0
120242,Japan,0.0
120400,Japan,0.0
120510,Japan,0.0
120590,Japan,0.0
120600,Japan,0.0
120710,Japan,0.0
120721,Japan,0.0
120729,Japan,0.0
120730,Japan,0.0
120740,Japan,0.0
120750,Japan,0.0
120799,Japan,0.0
120810,Japan,0.0
120890,Japan,0.0
120910,Japan,0.0
120921,Japan,0.0
