HS6,China,Japan,Korea,Uae,Veitnam
10121,30.0,0.0,5.0,0.0,0.0
10129,30.0,0.0,5.0,27.0,0.0
10130,30.0,0.0,5.0,27.0,0.0
10190,30.0,0.0,5.0,27.0,0.0
10221,30.0,0.0,5.0,0.0,0.0
10229,30.0,0.0,5.0,0.0,0.0
10231,30.0,0.0,5.0,0.0,0.0
10239,30.0,0.0,5.0,0.0,0.0
10290,30.0,0.0,5.0,0.0,0.0
10310,30.0,0.0,5.0,0.0,0.0
10391,30.0,0.0,5.0,0.0,0.0
10392,30.0,0.0,5.0,0.0,0.0
10410,30.0,0.0,5.0,0.0,0.0
10420,30.0,0.0,5.0,0.0,0.0
10511,30.0,0.0,15.0,27.0,0.0
10512,30.0,0.0,15.0,27.0,0.0
10513,30.0,0.0,15.0,27.0,0.0
10514,30.0,0.0,15.0,27.0,0.0
10515,30.0,0.0,15.0,27.0,0.0
10594,30.0,0.0,0.0,27.0,0.0
10599,30.0,0.0,5.0,27.0,5.0
10611,30.0,0.0,5.0,0.0,0.0
10612,30.0,0.0,5.0,27.0,0.0
10613,30.0,0.0,5.0,27.0,0.0
10614,30.0,0.0,5.0,24.0,0.0
10619,30.0,0.0,5.0,24.0,0.0
10620,30.0,0.0,5.0,24.0,0.0
10631,30.0,0.0,5.0,27.0,0.0
10632,30.0,0.0,5.0,0.0,0.0
10633,30.0,0.0,5.0,0.0,0.0
10639,30.0,0.0,5.0,0.0,0.0
10641,30.0,0.0,5.0,27.0,0.0
10649,30.0,0.0,5.0,0.0,0.0
10690,30.0,0.0,5.0,0.0,0.0
20110,30.0,0.0,5.0,27.0,0.0
20120,30.0,0.0,5.0,27.0,0.0
20130,30.0,0.0,5.0,27.0,0.0
20210,30.0,0.0,5.0,27.0,0.0
20220,30.0,0.0,5.0,27.0,0.0
20230,30.0,0.0,5.0,27.0,0.0
20311,30.0,0.0,5.0,0.0,0.0
20312,30.0,0.0,5.0,0.0,0.0
20319,30.0,0.0,5.0,0.0,0.0
20321,30.0,0.0,5.0,0.0,0.0
20322,30.0,0.0,5.0,0.0,0.0
20329,30.0,0.0,5.0,0.0,0.0
20410,30.0,0.0,5.0,27.0,0.0
20421,30.0,0.0,5.0,27.0,0.0
20422,30.0,0.0,5.0,27.0,0.0
20423,30.0,0.0,5.0,27.0,0.0
20430,30.0,0.0,5.0,27.0,0.0
20441,30.0,0.0,5.0,27.0,0.0
20442,30.0,0.0,5.0,27.0,0.0
20443,30.0,0.0,5.0,27.0,0.0
20450,30.0,0.0,5.0,27.0,0.0
20500,30.0,0.0,5.0,0.0,0.0
20610,30.0,0.0,5.0,24.0,0.0
20621,30.0,0.0,5.0,24.0,0.0
20622,30.0,0.0,5.0,24.0,0.0
20629,30.0,0.0,5.0,0.0,0.0
20630,30.0,0.0,5.0,0.0,0.0
20641,30.0,0.0,5.0,0.0,0.0
20649,30.0,0.0,5.0,0.0,0.0
20680,30.0,0.0,5.0,0.0,0.0
20690,30.0,0.0,5.0,0.0,0.0
20711,30.0,0.0,0.0,0.0,0.0
20712,30.0,0.0,0.0,0.0,0.0
20713,100.0,0.0,50.0,0.0,0.0
20714,100.0,0.0,50.0,0.0,0.0
20724,30.0,0.0,5.0,24.0,0.0
20725,30.0,0.0,5.0,24.0,0.0
20726,30.0,0.0,5.0,24.0,0.0
20727,30.0,0.0,5.0,24.0,0.0
20741,30.0,0.0,5.0,24.0,0.0
20742,30.0,0.0,5.0,24.0,0.0
20743,30.0,0.0,0.0,24.0,0.0
20744,30.0,0.0,5.0,24.0,0.0
20745,30.0,0.0,5.0,24.0,0.0
20751,30.0,0.0,5.0,24.0,0.0
20752,30.0,0.0,5.0,24.0,0.0
20753,30.0,0.0,5.0,27.0,0.0
20754,30.0,0.0,5.0,24.0,0.0
20755,30.0,0.0,5.0,24.0,0.0
20760,30.0,0.0,5.0,24.0,0.0
20810,30.0,0.0,5.0,24.0,0.0
20830,30.0,0.0,5.0,24.0,0.0
20840,30.0,0.0,5.0,24.0,0.0
20850,30.0,0.0,5.0,24.0,0.0
20860,30.0,0.0,5.0,24.0,0.0
20890,30.0,0.0,5.0,24.0,0.0
20910,30.0,0.0,5.0,0.0,0.0
20990,30.0,0.0,5.0,24.0,0.0
21011,30.0,0.0,5.0,0.0,0.0
21012,30.0,0.0,5.0,0.0,0.0
21019,30.0,0.0,5.0,24.0,0.0
21020,30.0,0.0,5.0,24.0,0.0
21091,30.0,0.0,5.0,24.0,0.0
21092,30.0,0.0,5.0,24.0,0.0
21093,30.0,0.0,5.0,24.0,0.0
21099,30.0,0.0,5.0,24.0,0.0
30111,30.0,0.0,5.0,0.0,0.0
30119,30.0,0.0,5.0,0.0,0.0
30191,30.0,0.0,5.0,0.0,0.0
30192,30.0,0.0,5.0,0.0,0.0
30193,30.0,0.0,5.0,0.0,0.0
30194,30.0,0.0,5.0,0.0,0.0
30195,30.0,0.0,5.0,0.0,0.0
30199,30.0,0.0,5.0,0.0,0.0
30211,30.0,0.0,5.0,0.0,0.0
30213,30.0,0.0,5.0,0.0,0.0
30214,30.0,0.0,5.0,0.0,0.0
30219,30.0,0.0,5.0,0.0,0.0
30221,30.0,0.0,5.0,0.0,0.0
30222,30.0,0.0,5.0,0.0,0.0
30223,30.0,0.0,5.0,0.0,0.0
30224,30.0,0.0,5.0,0.0,0.0
30229,30.0,0.0,5.0,0.0,0.0
30231,30.0,0.0,5.0,0.0,0.0
30232,30.0,0.0,5.0,0.0,0.0
30233,30.0,0.0,5.0,0.0,0.0
30234,30.0,0.0,5.0,0.0,0.0
30235,30.0,0.0,5.0,0.0,0.0
30236,30.0,0.0,5.0,0.0,0.0
