"NomenCode","Reporter_ISO_N","ReporterName","ProductCode","Partner","PartnerName","Year","AdValorem","MeasureCode","MeasureName","NonAdValorem","Affected"
"H6","356","India","01012100","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01012910","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01012990","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01013010","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01013020","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01013090","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01019030","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01019090","784","United Arab Emirates",2023,27,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01022110","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01022120","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01022910","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01022990","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01023100","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01023900","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01029010","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01029090","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01031000","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01039100","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
"H6","356","India","01039200","784","United Arab Emirates",2023,0,58,"Preferential tariff for United Arab Emirates",,
